scholarshipID,scholarshipDetailURL,Award Name,Organization,Purposes,Level Of Study,Award Type,Award Amount,Deadline
9993165,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993165,Pence Construction Diversity in Leadership Scholarship,Oregon Community Foundation - Portland,To support underrepresented students of color pursuing postsecondary education in construction engineering.,Bachelor's Degree  Vocational,Scholarship,N/A,March
9997696,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997696,Carpenters' Company Scholarship Program,Carpenters' Company of the City and County of Philadelphia,"To provide architecture, structural engineering, or construction management/engineering.",Bachelor's Degree,Scholarship,"$5,000",
9990581,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990581,PC Construction Scholarship,Vermont Student Assistance Corporation,To support a Vermont graduating senior pursuing a degree in construction management or civil/mechanical engineering.,Bachelor's Degree,Scholarship,"$2,500",February
9997326,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997326,"Maryland Building Industry Association, Eastern Shore Chapter","Community Foundation of the Eastern Shore, Inc.","To encourage and support Eastern Shore students who are pursuing careers in architecture, engineering, or a construction related study.",Bachelor's Degree  Vocational,Scholarship,$500,April
9992419,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992419,JMA Architecture Studios Scholarship,Public Education Foundation,"To provide financial assistance for tuition, fees and other appropriate educational expenses for seniors interested in pursuing a career in architecture and plan to enroll as a full-time student at a university with an accredited School of Architecture.",Bachelor's Degree,Scholarship,"$5,000",January
9993981,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993981,NAWIC Construction Trades Scholarship,National Association of Women in Construction,To support women pursuing construction-related degrees.,Bachelor's Degree  Vocational,Scholarship,N/A,February
9995235,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995235,William J. Tangye Scholarship,International Code Council,To provide financial assistance for children of ICC members intending to pursue higher education.,Bachelor's Degree,Scholarship,"$2,500",June
9998277,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998277,Association for Women in Architecture Scholarships,Association for Women in Architecture and Design,To advance and support the positions of women in architecture and allied fields.,Bachelor's Degree,Scholarship,N/A,
9995522,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995522,Dimitri J. Ververelli Memorial Scholarship for Architecture and/or,Hellenic University Club of Philadelphia,To provide educational support to a qualified student pursuing a degree in the field of Architecture or Engineering.,Bachelor's Degree,Scholarship,"$3,000",April
9996061,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996061,TowerPinkster Scholarship,Grand Rapids Community Foundation,To support students pursuing degrees in undergraduate level health service related fields.,Bachelor's Degree,Scholarship,N/A,March
9992407,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992407,Pardee Community Building Scholarship,Public Education Foundation,To assist students interested pursuing a degee in home building and community development.,Bachelor's Degree,Scholarship,"$1,500",
9999464,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999464,ACI BASF Construction Chemicals Student Fellowship,American Concrete Institute,To support high-potential undergraduate and graduate students whose studies relate to concrete.,Bachelor's Degree  Graduate Degree,Fellowship,N/A,November
9999279,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999279,AISC/Rocky Mountain Steel Construction Association Scholarships,American Institute of Steel Construction,To provide financial assistance to those studying civil engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",May
9992289,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992289,PCH Architects LLP - Steven J. Lehnhof Memorial Architectural,Redlands Community Scholarship Foundation,To support those who want to study architecture or architectural engineering at an accredited college or university.,Bachelor's Degree,Scholarship,"$1,000",February
9996830,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996830,Duluth Building and Construction Trades Council Scholarship Fund,Duluth Superior Area Community Foundation,To provide financial assistance to children of members of unions affiliated with the Duluth Building Trades Council.,Bachelor's Degree,Scholarship,"$2,500",January
9996181,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996181,Golen Engine Scholarship,Golen Engine Service,To support students pursuing engineering degrees.,Bachelor's Degree,Scholarship,$500,November
9991640,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991640,Petroleum Engineering Scholarships,Society of Petroleum Engineers - Evangeline Section,To support the education of students majoring in petroleum engineering at Louisiana State University (LSU) or the University of Louisiana at Lafayette (ULL).,Bachelor's Degree,Scholarship,N/A,
9998952,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998952,ASHARE Undergraduate Engineering Scholarships,"American Society of Heating, Refrigerating and Air-Conditioning",To recognize the eligible schools or accredited programs.,Bachelor's Degree,Scholarship,"$3,000  $10,000",December
9992163,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992163,Melvin Kruger Endowed Scholarship Program,Roofing Alliance,To help employees and their families who plan to pursue post-secondary education in college and vocational programs.,Bachelor's Degree  High School,Scholarship,N/A,
9998823,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998823,Arsham Amirikian Engineering Scholarship,American Welding Society,To provide financial assistance to an engineering student pursuing a career in the art of welding in civil and structural engineering.,Bachelor's Degree  High School,Scholarship,"$2,500",March
9991476,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991476,UPS Industrial Engineer Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$3,375",
9996230,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996230,Georgia Engineering Foundation Scholarships,Georgia Engineering Foundation,To provide engineering Foundation has sponsored a program that awards college scholarships to worthy Georgia students.,Bachelor's Degree,Scholarship,"$1,000  $5,000",
9998357,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998357,AIST Foundation Engineering Scholarship,Association for Iron and Steel Technology,To support talented and dedicated students to encourage them to pursue careers within iron-and steel-related industries.,Bachelor's Degree,Scholarship,"$3,000",October
9991022,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991022,United Engineering Foundation Grants,United Engineering Foundation,To support engineering and education.,Associate Degree  Bachelor's Degree  Graduate Degree  High School  Professional Development  Vocational,Grant,N/A,August
9996831,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996831,Duluth Builders Exchange Legacy Fund,Duluth Superior Area Community Foundation,To assist students and apprentices pursue careers in the local construction industry.,Associate Degree  Bachelor's Degree  Vocational,Scholarship,N/A,
9991855,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991855,SOM Foundation Structural Engineering Fellowship,"Skidmore, Owings and Merrill Foundation",To recognize a graduating student based in the United States who specializes in structural engineering to conduct independent travel and research that contributes to the SOM Foundation’s current topic.,Bachelor's Degree  Graduate Degree,Fellowship,"$20,000",March
9991396,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991396,Optical Design and Engineering Scholarship,SPIE,To provide full-time undergraduate or graduate student in the field of optical design and engineering.,Bachelor's Degree  Graduate Degree  Professional Development,Scholarship,"$5,000",February
9996988,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996988,CitizenshipTests.org Engineering and Science Scholarship,Deedal Studio Inc.,To provide financial assistance to engineering and science students with good academic standing and involvement in the community.,Bachelor's Degree,Scholarship,"$1,000",April
9991478,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991478,Michelle Tortolani Engineering Leadership Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,000",February
9997449,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997449,Govind and Bahki Nadkarni Engineering Scholarship,Coastal Bend Community Foundation,To support Coastal Bend students intending to study civil engineering at area universities.,Bachelor's Degree,Scholarship,N/A,March
9991549,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991549,GE Foundation Engineering Scholarship Program (Upperclassman),Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$10,000",February
9991550,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991550,GE Foundation Engineering Scholarship Program (Freshman),Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$5,000",March
9999926,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999926,AfterCollege Engineering & Technology Student Scholarship,AfterCollege,"To support current students working toward a degree in a field of engineering, mathematics, or computers.",Bachelor's Degree  Graduate Degree,Scholarship,$500,
9994196,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994196,Michigan Society of Professional Engineers Scholarships,Michigan Society of Professional Engineers,To support high school students who have talent and commitment in pursuing engineering degree.,Bachelor's Degree  Graduate Degree  High School,Scholarship,N/A,February
9994124,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994124,Montana Broadcasters Association Broadcast Engineering Scholarships,Montana Broadcasters Association,"To promote the values of local, free over-the-air broadcasting to the business community, governmental bodies and the general public in Montana; and to support the Montana broadcasting industry by providing services, information, continuing education, recruitment and a strong unified voice.",Associate Degree  Bachelor's Degree,Scholarship,N/A,February
9991398,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991398,"Laser Technology, Engineering and Applications Scholarship",SPIE,"To recognize student's scholarly achievement in laser technology, engineering, or applications.",Bachelor's Degree  Graduate Degree  High School,Scholarship,"$5,000",February
9992751,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992751,Pennsylvania Engineering Foundation (PEF) Grants: Undergraduate,Pennsylvania Society of Professional Engineers,To provide financial assistance for freshmen students to pursue their academic goals in the engineering field of study.,Bachelor's Degree  High School,Scholarship,"$1,000",
9993584,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993584,Planning Systems Incorporated and Engineering Scholarship,Navy League of the United States,To support the children or grandchildren of sea services personnel as they pursue higher education.,Bachelor's Degree  Vocational,Scholarship,"$10,000",March
9993875,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993875,Lamar University College of Engineering Scholarships,National Eagle Scout Association,To assist students in pursing their higher education.,Bachelor's Degree,Scholarship,"$500  $6,000",February
9998351,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998351,AIST Midwest Member Chapter - Engineering Scholarships,Association for Iron and Steel Technology,To provide educational assistance for engineering students.,Bachelor's Degree,Scholarship,"$3,000",January
9990928,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990928,Charles E. Behlke Engineering Memorial Scholarships,University of Alaska,To provide financial support to deserving students in Alaska who want to pursue an education in any campus of the University of Alaska.,Bachelor's Degree,Scholarship,N/A,
9992463,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992463,Ted G. Wilson Memorial Scholarships,"Professional Construction Estimators Association of America, Inc.",To provide scholarships in each of the states that have PCEA chapters.,Bachelor's Degree,Scholarship,"$1,500",
9999278,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999278,AISC/Southern Association of Steel Fabricators Scholarships,American Institute of Steel Construction,To provide financial assistance to those studying civil engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",May
9999052,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999052,Michael and Gina Garcia Rail Engineering Scholarships,American Railway Engineering and Maintenance-of-Way Association,"To support the education of an engineering student, especially to students already married or supporting a family.",Bachelor's Degree  Graduate Degree,Scholarship,"$3,000",December
9991546,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991546,Roberta Banaszak Gleiter – Engineering Endeavour Scholarship,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree,Scholarship,"$1,500",February
9999280,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999280,AISC/Ohio Structural Steel Association Scholarships,American Institute of Steel Construction,To provide financial assistance to those studying civil engineering.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,500",May
9992082,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992082,Stuart L. Noderer Memorial Scholarship,The San Diego Foundation,To support the education of students from California.,Bachelor's Degree,Scholarship,N/A,
9994758,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994758,"Peridian International, Inc./Rae L. Price, FASLA Scholarships",Landscape Architecture Foundation,To support profession of landscape architecture by helping to bring young creative individuals into the profession who may not otherwise have the financial ability to cover all the costs of their educational program.,Bachelor's Degree,Scholarship,"$5,000",February
9994761,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994761,Steven G. King Play Environments Scholarship,Landscape Architecture Foundation,To recognize a student who has a high potential in the design of play environments.,Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",February
9997149,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997149,Charles DuBose Memorial Scholarship,Connecticut Architecture Foundation,To provide scholarship to students pursuing undergraduate or graduate degrees in architecture.,Bachelor's Degree  Graduate Degree,Scholarship,"$1,200  $5,000",April
9998387,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998387,Association of Energy Engineers Foundation Scholarship Program,Association of Energy Engineers,To encourage qualified practitioners in energy engineering and energy management by awarding scholarships to further education in the field.,Bachelor's Degree  Graduate Degree,Scholarship,N/A,May
9992412,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992412,National Security Technologies Engineering and Science Scholarships,Public Education Foundation,To support CCSD seniors who are pursuing technical degrees that are vital to the future of the Nevada National Security Site.,Bachelor's Degree,Scholarship,N/A,
9996934,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996934,Research Internships in Science and Engineering (RISE),Deutscher Akademischer Austausch Dienst,"To provide undergraduate students from the United States, Canada and the UK in the fields of biology, chemistry, physics, earth sciences, engineering and computer science.",Bachelor's Degree,N/A,N/A,
9999360,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999360,Galvanize the Future: A Richard L. Brooks Memorial Scholarship,American Galvanizers Association,"To assist future specifiers with the rising cost of a college education, and teach these specifiers a little about hot-dip galvanizing.",Bachelor's Degree  Graduate Degree,Scholarship,"$1,000  $1,500  $2,500",March
9999186,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999186,William R. and Mila Kimel Undergraduate Engineering Scholarship,American Nuclear Society,To support students pursuing degrees in nuclear science and related fields.,Bachelor's Degree,Scholarship,"$2,000",February
9993059,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993059,Alex J. Craig Memorial Scholarship,Parkersburg Area Community Foundation,To support local students pursuing engineering studies or industrial/construction trades.,Bachelor's Degree  Vocational,Scholarship,N/A,March
9990757,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990757,College of Engineering and Physical Sciences Industry Scholarship,University of New Hampshire,To provide first-Year applicants to the College of Engineering and Physical Sciences.,Bachelor's Degree,Scholarship,N/A,
9991493,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991493,Dr. Paula Marie Stenzler Legacy Scholarship for Engineering,Society of Women Engineers,"To help women achieve full potential in careers as engineers and leaders, expand the image of the engineering profession as a positive force improving the quality of life, and demonstrate the value of diversity.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,250",February
9999655,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999655,AAAS Mass Media Science & Engineering Fellows program,American Association for the Advancement of Science,To increase public understanding of science and technology.,Bachelor's Degree  Graduate Degree,Fellowship,$500,January
9992095,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992095,"Qualcomm San Diego Science, Technology, Engineering and Mathematics",The San Diego Foundation,To support the education of students from California.,Bachelor's Degree,Scholarship,N/A,February
9996122,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9996122,Marion A. and Ruth K. Sherwood Engineering Scholarship,Grand Haven Area Community Foundation,To recognize students who demonstrate evidence of academic achievement and plan to pursue the study of engineering.,Bachelor's Degree,Scholarship,N/A,February
9999448,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999448,American Council of Engineering Companies of Illinois Scholarships,American Council of Engineering Companies of Illinois,To assist engineering students of Illinois in reaching their goals of higher education.,Bachelor's Degree  Professional Development,Scholarship,N/A,March
9990628,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990628,Richard T. Gates Engineering and Technology Endowed Challenge,Vermont Student Assistance Corporation,To help worthy and able students pursue undergraduate degrees in engineering or technology.,Bachelor's Degree,Scholarship,"$4,000",February
9990691,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990691,Leaders in Engineering Excellence and Diversity Scholars Program,University of Wisconsin-Madison,To attract academically talented women and students from groups historically underrepresented in the field of engineering.,Bachelor's Degree,Scholarship,"$1,500",
9999456,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999456,ACI Baker Student Fellowships,American Concrete Institute,"To promote undergraduate students entering their junior or senior year with an interest in a career in the construction industry and studying in a civil engineering, structural engineering, or construction industry management program. Internship is requir",Associate Degree  Bachelor's Degree  Graduate Degree  High School  Professional Development  Vocational,Fellowship,N/A,
2014778,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=2014778,Future Contractors Scholarship,California Contractors Insurance Services,CCIS is dedicated to the future of California’s contractor community. We are excited to offer scholarships for graduating high school seniors and currently enrolled college students who are interested in pursuing a career as a contractor.,Associate Degree  Bachelor's Degree  Vocational,Scholarship,$750,
9991125,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991125,TrustedPros Scholarships,TrustedPros Inc.,To help lessen educational expenses of deserving students pursuing careers in the construction and skilled trades industries.,Bachelor's Degree,Scholarship,"$1,000",December
9994483,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994483,"The MTS Student Scholarship for Two-Year, Technical, Engineering and",Marine Technology Society Inc.,"To provide scholarships to students focused on studying marine technology, marine engineering, or marine science.",Associate Degree  Bachelor's Degree  Vocational,Scholarship,"$3,000",April
9992079,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992079,"UCSD Black Alumni Scholarships for Math, Science & Engineering",The San Diego Foundation,To support the education of African American students from California.,Bachelor's Degree,Scholarship,"$2,500  $10,000",March
9994757,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994757,Rain Bird Intelligent Use of Water Scholarship,Landscape Architecture Foundation,"To support an outstanding landscape architecture, horticulture or irrigation science student.",Bachelor's Degree,Scholarship,"$2,500",February
9997148,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997148,Suzanne Sheng Memorial Scholarship,Connecticut Architecture Foundation,To support undergraduate and graduate students pursuing degrees in architecture.,Bachelor's Degree  Graduate Degree,Scholarship,"$1,200  $5,000",April
9994760,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994760,"Landscape Forms Scholarship in Memory of Peter Lindsay Schaudt, FASLA",Landscape Architecture Foundation,To provide as a landscape architect.,Bachelor's Degree,Scholarship,"$3,000",February
9994762,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994762,Hawaii Chapter/David T. Woolsey Scholarship,Landscape Architecture Foundation,To provides educational or professional development purposes exclusively.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",February
9997142,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997142,Associated General Contractors of Connecticut Scholarships (AGC/CT,Connecticut Construction Industries Association,To support students enrolled in a construction management or construction related engineering programs.,Bachelor's Degree,Scholarship,"$2,500  $5,000",February
9990954,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990954,United States Society on Dams Student Scholarship Award,United States Society on Dams,To support water resources and opportunities professional organizations.,Bachelor's Degree  Graduate Degree,Scholarship,"$5,000",February
9999460,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999460,ACI Foundation Scholarships,American Concrete Institute,To provide granted based on the availability of contributions received.,Bachelor's Degree  Graduate Degree,Scholarship,N/A,November
9998354,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998354,AIST Midwest Member Chapter – Tom Cipich Non-Engineering,Association for Iron and Steel Technology,To support students in pursuing college educations.,Bachelor's Degree,Scholarship,"$3,000",January
9992988,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992988,Parkersburg Chapter of the WV Society of Professional Engineers,Parkersburg Area Community Foundation,To assist local students in pursuing postsecondary education in engineering fields.,Bachelor's Degree  Vocational,Scholarship,N/A,March
9998468,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998468,AGC NYS Scholarship Program,Associated General Contractors of New York State,"To provide college students working towards a degree in construction or construction-related engineering (Civil, Mechanical, Electrical) at colleges or universities.",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500  $5,000",May
9990451,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990451,Nixon Family Scholarship Fund,"Wayne County Foundation, Inc.","To assist students pursuing a degree in engineering, technology or related fields.",Bachelor's Degree  High School,Scholarship,$500,
9994759,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994759,Courtland P. Paul Scholarships,Landscape Architecture Foundation,To assist students in their study of landscape architecture.,Bachelor's Degree,Scholarship,"$5,000",
9994763,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994763,ASLA Council of Fellows Scholarships,Landscape Architecture Foundation,"To aid outstanding students who would not otherwise have an opportunity to continue a professional degree program in the area of landscape architecture due to unmet financial need, increase the interest and participation of economically disadvantaged and underrepresented populations in the study of landscape architecture through a more diverse population, and enrich the profession of landscape architecture through a more diverse population.",Bachelor's Degree,Scholarship,"$5,000  $10,000",February
9998728,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998728,Tom Cory Scholarships,Architectural Precast Association,To provide financial assistance for architecture students.,Bachelor's Degree  Graduate Degree,Scholarship,"$2,000",June
9990655,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990655,Vectorworks Design Scholarship,Vectorworks Inc.,To support unique opportunity to take the next step in your journey of professional development.,Bachelor's Degree  Graduate Degree  Professional Development,Scholarship,"$3,000",April
9990624,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990624,Alfred T. Granger Student Art Fund Scholarship,Vermont Student Assistance Corporation,"To support a college education for talented students pursuing degrees in architecture, design, fine arts, and mechanical drawing (CAD).",Bachelor's Degree  Graduate Degree,Scholarship,"$2,500  $5,000",February
9993980,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9993980,NAWIC Founders Undergraduate Scholarship,National Association of Women in Construction,To support women pursuing construction-related degrees.,Bachelor's Degree,Scholarship,N/A,February
9991669,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991669,Robert N. Herbert Undergraduate Scholarships,Society of Naval Architects and Marine Engineers,"To encourage study in naval architecture, marine engineering, ocean engineering or marine industry-related fields.",Bachelor's Degree,Scholarship,"$6,000",June
9995624,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9995624,Society of Women Engineers (SWE HI) Scholarship Fund in Honor of Mae,Hawaii Community Foundation,"To provide scholarships to women and other underrepresented genders (such as non-binary, transgender, two-spirit, and/or third gender) students pursuing degrees in engineering or technology.",Associate Degree  Bachelor's Degree  Graduate Degree,Scholarship,N/A,
9992790,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992790,Pu'uwai Hau Kila Scholarship,Pauahi Foundation,To support students pursuing undergraduate STEAM degrees.,Bachelor's Degree,Scholarship,N/A,December
9991668,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9991668,Mandell and Lester Rosenblatt Undergraduate Scholarship,Society of Naval Architects and Marine Engineers,"To encourage study in naval architecture, marine engineering, ocean engineering or marine industry-related fields.",Bachelor's Degree,Scholarship,"$6,000",June
9990598,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9990598,John and Ruth Maciag Scholarship,Vermont Student Assistance Corporation,To support Vermont students pursuing degrees in art and design fields.,Bachelor's Degree  Graduate Degree  Vocational,Scholarship,"$1,000",February
9994268,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9994268,"Foster McCarl, Jr. Memorial Scholarship",Mechanical Contractors Association of America,To symbolize the scope of Mr. McCarl's impact on the mechanical contracting industry and support a student pursuing an undergraduate degree in the field.,Bachelor's Degree,Scholarship,"$5,000",
9998470,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9998470,AGC Education and Research Foundation Scholarships,Associated General Contractors of America,To support undergraduate and graduate level scholarships to students enrolled in ABET or ACCE-accredited construction management or construction related engineering programs.,Bachelor's Degree  Graduate Degree,Prize  Scholarship,"$2,500  $3,750",November
9992549,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9992549,Ralph Modjeski Scholarship Fund,Polish-American Engineers Association,"To honor the outstanding accomplishments of Ralph Modjeski, the Polish American Engineers Association has established the Ralph Modjeski Scholarship Fund.",Bachelor's Degree  Graduate Degree,Scholarship,N/A,May
9999461,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999461,ACI Elmer Baker Student Fellowship,American Concrete Institute,To support high-potential graduate students whose studies relate to concrete.,Bachelor's Degree  Graduate Degree,Fellowship,N/A,November
9997492,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9997492,"Beck – O.J. Beck, Jr. Memorial Scholarship",Coastal Bend Community Foundation,To provide educational assistance to students who are seeking a bachelor's degree in building construction.,Bachelor's Degree,Scholarship,"$2,000",March
9999462,https://www.careeronestop.org/toolkit/training/find-scholarships-detail.aspx?scholarshipId=9999462,ACI Charles Pankow Student Fellowship,American Concrete Institute,To support high-potential undergraduate and graduate students whose studies relate to concrete.,Bachelor's Degree  Graduate Degree,Fellowship,N/A,November
